expense_id,expense_date,category,amount,payment_method,description,month,month_num,year,weekday
38,2025-05-25,Travel,4557.0,UPI,,2025-05,5,2025,Sunday
39,2025-11-12,Rent,4636.0,Cash,,2025-11,11,2025,Wednesday
40,2025-04-20,Bills,2240.0,Cash,,2025-04,4,2025,Sunday
41,2025-11-30,Bills,1744.0,Card,,2025-11,11,2025,Sunday
42,2024-07-08,Food,2900.0,Card,,2024-07,7,2024,Monday
43,2025-11-17,Food,241.0,Cash,,2025-11,11,2025,Monday
44,2025-07-16,Rent,1555.0,UPI,,2025-07,7,2025,Wednesday
45,2025-07-20,Shopping,4896.0,Card,,2025-07,7,2025,Sunday
46,2024-08-31,Travel,2196.0,UPI,,2024-08,8,2024,Saturday
47,2025-05-19,Food,1425.0,Card,,2025-05,5,2025,Monday
48,2024-05-10,Bills,1313.0,Card,,2024-05,5,2024,Friday
49,2025-04-29,Rent,1259.0,UPI,,2025-04,4,2025,Tuesday
50,2025-10-08,Travel,4750.0,Card,,2025-10,10,2025,Wednesday
51,2024-01-21,Rent,4599.0,Card,,2024-01,1,2024,Sunday
52,2024-06-15,Travel,4797.0,UPI,,2024-06,6,2024,Saturday
53,2024-09-30,Travel,440.0,Card,,2024-09,9,2024,Monday
54,2025-01-22,Food,3928.0,Card,,2025-01,1,2025,Wednesday
55,2025-08-23,Rent,2068.0,Card,,2025-08,8,2025,Saturday
56,2024-11-11,Rent,803.0,UPI,,2024-11,11,2024,Monday
57,2024-01-14,Bills,4513.0,Cash,,2024-01,1,2024,Sunday
58,2024-08-29,Bills,2529.0,UPI,,2024-08,8,2024,Thursday
59,2024-12-11,Food,1900.0,Cash,,2024-12,12,2024,Wednesday
60,2025-07-18,Food,4748.0,Card,,2025-07,7,2025,Friday
61,2024-12-05,Shopping,955.0,Cash,,2024-12,12,2024,Thursday
62,2024-04-01,Bills,1912.0,UPI,,2024-04,4,2024,Monday
63,2025-01-01,Travel,2966.0,UPI,,2025-01,1,2025,Wednesday
64,2025-03-30,Rent,3742.0,Card,,2025-03,3,2025,Sunday
65,2025-03-03,Food,282.0,Cash,,2025-03,3,2025,Monday
66,2025-05-23,Rent,3212.0,Card,,2025-05,5,2025,Friday
67,2024-02-04,Rent,4592.0,Card,,2024-02,2,2024,Sunday
68,2024-07-24,Shopping,1617.0,UPI,,2024-07,7,2024,Wednesday
69,2024-03-21,Bills,1456.0,Cash,,2024-03,3,2024,Thursday
70,2025-07-15,Food,2274.0,Cash,,2025-07,7,2025,Tuesday
71,2025-01-22,Rent,3729.0,Cash,,2025-01,1,2025,Wednesday
72,2024-01-02,Food,3728.0,Cash,,2024-01,1,2024,Tuesday
73,2025-01-24,Travel,4196.0,Card,,2025-01,1,2025,Friday
74,2025-07-19,Shopping,3339.0,Card,,2025-07,7,2025,Saturday
75,2024-04-15,Travel,3791.0,UPI,,2024-04,4,2024,Monday
76,2025-04-21,Food,118.0,Card,,2025-04,4,2025,Monday
77,2025-12-03,Food,3503.0,Card,,2025-12,12,2025,Wednesday
78,2025-02-05,Bills,4779.0,UPI,,2025-02,2,2025,Wednesday
79,2025-12-30,Rent,4651.0,UPI,,2025-12,12,2025,Tuesday
80,2025-07-09,Rent,3104.0,UPI,,2025-07,7,2025,Wednesday
81,2024-06-10,Travel,1232.0,Card,,2024-06,6,2024,Monday
82,2024-07-20,Shopping,3439.0,Card,,2024-07,7,2024,Saturday
83,2024-09-26,Rent,3411.0,UPI,,2024-09,9,2024,Thursday
84,2024-09-27,Bills,3472.0,UPI,,2024-09,9,2024,Friday
85,2025-03-31,Travel,1087.0,UPI,,2025-03,3,2025,Monday
86,2025-04-06,Travel,3421.0,Card,,2025-04,4,2025,Sunday
87,2025-12-27,Bills,4715.0,Card,,2025-12,12,2025,Saturday
88,2024-09-08,Shopping,273.0,Cash,,2024-09,9,2024,Sunday
89,2025-12-02,Bills,3841.0,Card,,2025-12,12,2025,Tuesday
90,2024-10-22,Shopping,3152.0,Card,,2024-10,10,2024,Tuesday
91,2025-12-25,Bills,826.0,Card,,2025-12,12,2025,Thursday
92,2025-12-20,Bills,3860.0,UPI,,2025-12,12,2025,Saturday
93,2024-12-03,Food,1975.0,Card,,2024-12,12,2024,Tuesday
94,2024-02-22,Travel,4133.0,UPI,,2024-02,2,2024,Thursday
95,2024-08-04,Bills,1089.0,Cash,,2024-08,8,2024,Sunday
96,2024-07-06,Bills,3844.0,Cash,,2024-07,7,2024,Saturday
97,2025-01-14,Rent,2786.0,UPI,,2025-01,1,2025,Tuesday
98,2025-05-07,Travel,519.0,UPI,,2025-05,5,2025,Wednesday
99,2024-02-10,Rent,693.0,UPI,,2024-02,2,2024,Saturday
100,2024-06-05,Travel,1874.0,Card,,2024-06,6,2024,Wednesday
101,2024-01-15,Rent,2559.0,Cash,,2024-01,1,2024,Monday
102,2024-03-05,Bills,1035.0,UPI,,2024-03,3,2024,Tuesday
103,2025-06-04,Bills,3908.0,Card,,2025-06,6,2025,Wednesday
104,2024-12-09,Food,431.0,Cash,,2024-12,12,2024,Monday
105,2024-05-08,Rent,3549.0,Card,,2024-05,5,2024,Wednesday
106,2025-10-09,Shopping,2802.0,Cash,,2025-10,10,2025,Thursday
107,2025-04-16,Food,4106.0,Card,,2025-04,4,2025,Wednesday
108,2024-03-03,Rent,3968.0,Cash,,2024-03,3,2024,Sunday
109,2024-05-18,Rent,4300.0,Cash,,2024-05,5,2024,Saturday
110,2025-05-13,Food,301.0,Card,,2025-05,5,2025,Tuesday
111,2025-08-15,Bills,2597.0,UPI,,2025-08,8,2025,Friday
112,2025-01-26,Rent,1942.0,Cash,,2025-01,1,2025,Sunday
113,2025-11-05,Bills,1966.0,UPI,,2025-11,11,2025,Wednesday
114,2025-02-22,Food,2096.0,Card,,2025-02,2,2025,Saturday
115,2024-10-15,Bills,1009.0,UPI,,2024-10,10,2024,Tuesday
116,2025-01-13,Travel,4405.0,UPI,,2025-01,1,2025,Monday
117,2025-05-04,Shopping,4758.0,UPI,,2025-05,5,2025,Sunday
118,2024-08-18,Rent,3289.0,UPI,,2024-08,8,2024,Sunday
119,2024-02-10,Shopping,870.0,UPI,,2024-02,2,2024,Saturday
120,2024-01-28,Bills,3255.0,Cash,,2024-01,1,2024,Sunday
121,2024-05-14,Rent,2601.0,Cash,,2024-05,5,2024,Tuesday
122,2024-07-19,Bills,2814.0,Cash,,2024-07,7,2024,Friday
123,2024-02-02,Travel,4824.0,Card,,2024-02,2,2024,Friday
124,2024-02-17,Food,3685.0,UPI,,2024-02,2,2024,Saturday
125,2025-05-17,Rent,1728.0,Cash,,2025-05,5,2025,Saturday
126,2025-02-10,Travel,486.0,Card,,2025-02,2,2025,Monday
127,2025-07-27,Travel,3521.0,Cash,,2025-07,7,2025,Sunday
128,2025-12-28,Rent,4108.0,Cash,,2025-12,12,2025,Sunday
129,2024-04-08,Bills,4193.0,UPI,,2024-04,4,2024,Monday
130,2025-11-14,Travel,4463.0,Card,,2025-11,11,2025,Friday
131,2025-12-26,Shopping,2566.0,UPI,,2025-12,12,2025,Friday
132,2025-06-30,Travel,2382.0,UPI,,2025-06,6,2025,Monday
133,2025-09-04,Bills,1956.0,Cash,,2025-09,9,2025,Thursday
134,2025-04-06,Bills,2098.0,UPI,,2025-04,4,2025,Sunday
135,2025-10-04,Shopping,1336.0,Card,,2025-10,10,2025,Saturday
136,2024-01-05,Travel,4769.0,UPI,,2024-01,1,2024,Friday
137,2024-08-05,Bills,4244.0,UPI,,2024-08,8,2024,Monday
138,2025-05-17,Rent,1250.0,UPI,,2025-05,5,2025,Saturday
139,2025-02-01,Food,4418.0,Cash,,2025-02,2,2025,Saturday
140,2025-01-27,Food,1531.0,Card,,2025-01,1,2025,Monday
141,2024-07-25,Food,1919.0,Cash,,2024-07,7,2024,Thursday
142,2024-01-15,Travel,2424.0,Cash,,2024-01,1,2024,Monday
143,2025-07-07,Shopping,1230.0,Cash,,2025-07,7,2025,Monday
144,2025-04-05,Bills,2758.0,Cash,,2025-04,4,2025,Saturday
145,2025-11-21,Rent,3600.0,Cash,,2025-11,11,2025,Friday
146,2025-07-28,Rent,474.0,Card,,2025-07,7,2025,Monday
147,2024-08-28,Travel,2220.0,UPI,,2024-08,8,2024,Wednesday
148,2025-07-17,Food,4120.0,Cash,,2025-07,7,2025,Thursday
149,2024-04-05,Travel,2121.0,Cash,,2024-04,4,2024,Friday
150,2025-04-29,Shopping,3805.0,Card,,2025-04,4,2025,Tuesday
151,2025-02-10,Shopping,3359.0,Card,,2025-02,2,2025,Monday
152,2024-08-18,Bills,3535.0,UPI,,2024-08,8,2024,Sunday
153,2025-10-16,Bills,1989.0,Card,,2025-10,10,2025,Thursday
154,2024-06-19,Shopping,1923.0,UPI,,2024-06,6,2024,Wednesday
155,2025-06-24,Shopping,1574.0,Cash,,2025-06,6,2025,Tuesday
156,2024-02-05,Shopping,2342.0,Cash,,2024-02,2,2024,Monday
157,2025-06-08,Travel,3343.0,UPI,,2025-06,6,2025,Sunday
158,2024-06-08,Shopping,3234.0,Card,,2024-06,6,2024,Saturday
159,2025-11-29,Rent,2170.0,UPI,,2025-11,11,2025,Saturday
160,2024-08-30,Food,459.0,Card,,2024-08,8,2024,Friday
161,2024-03-26,Shopping,2141.0,Cash,,2024-03,3,2024,Tuesday
162,2025-07-31,Food,1241.0,Card,,2025-07,7,2025,Thursday
163,2025-11-12,Travel,1735.0,UPI,,2025-11,11,2025,Wednesday
164,2025-07-10,Food,4100.0,UPI,,2025-07,7,2025,Thursday
165,2025-07-27,Travel,2043.0,Cash,,2025-07,7,2025,Sunday
166,2025-10-07,Rent,4874.0,Card,,2025-10,10,2025,Tuesday
167,2024-01-28,Travel,3461.0,Card,,2024-01,1,2024,Sunday
168,2025-09-11,Travel,3080.0,Card,,2025-09,9,2025,Thursday
169,2025-07-09,Bills,106.0,Cash,,2025-07,7,2025,Wednesday
170,2024-12-05,Shopping,3367.0,Card,,2024-12,12,2024,Thursday
171,2024-11-26,Shopping,1691.0,UPI,,2024-11,11,2024,Tuesday
172,2025-10-01,Rent,3364.0,Card,,2025-10,10,2025,Wednesday
173,2025-05-20,Rent,2706.0,Cash,,2025-05,5,2025,Tuesday
174,2024-12-13,Shopping,3319.0,Card,,2024-12,12,2024,Friday
175,2025-04-17,Bills,3373.0,Card,,2025-04,4,2025,Thursday
176,2024-08-18,Shopping,1013.0,UPI,,2024-08,8,2024,Sunday
177,2024-07-08,Bills,2111.0,Card,,2024-07,7,2024,Monday
178,2024-08-12,Rent,1542.0,UPI,,2024-08,8,2024,Monday
179,2025-01-19,Food,3154.0,UPI,,2025-01,1,2025,Sunday
180,2025-01-11,Rent,3646.0,Cash,,2025-01,1,2025,Saturday
181,2024-10-09,Rent,4321.0,UPI,,2024-10,10,2024,Wednesday
182,2025-09-24,Travel,3028.0,UPI,,2025-09,9,2025,Wednesday
183,2025-09-19,Travel,1929.0,Cash,,2025-09,9,2025,Friday
184,2024-09-15,Travel,675.0,UPI,,2024-09,9,2024,Sunday
185,2024-12-24,Travel,1029.0,Cash,,2024-12,12,2024,Tuesday
186,2025-12-10,Bills,3859.0,Card,,2025-12,12,2025,Wednesday
187,2025-03-31,Shopping,3799.0,Cash,,2025-03,3,2025,Monday
188,2025-02-14,Food,1563.0,UPI,,2025-02,2,2025,Friday
189,2025-10-10,Rent,3375.0,Cash,,2025-10,10,2025,Friday
190,2024-11-13,Bills,1154.0,UPI,,2024-11,11,2024,Wednesday
191,2025-11-07,Food,2000.0,Card,,2025-11,11,2025,Friday
192,2024-08-12,Bills,1557.0,Cash,,2024-08,8,2024,Monday
193,2024-08-21,Bills,1499.0,Card,,2024-08,8,2024,Wednesday
194,2025-11-14,Rent,3515.0,UPI,,2025-11,11,2025,Friday
195,2025-10-25,Shopping,542.0,UPI,,2025-10,10,2025,Saturday
196,2025-01-08,Travel,3750.0,Card,,2025-01,1,2025,Wednesday
197,2025-11-02,Shopping,4752.0,Cash,,2025-11,11,2025,Sunday
198,2025-08-30,Rent,1278.0,Cash,,2025-08,8,2025,Saturday
199,2025-04-16,Rent,4558.0,UPI,,2025-04,4,2025,Wednesday
200,2024-08-20,Rent,1357.0,Card,,2024-08,8,2024,Tuesday
201,2025-11-22,Food,3734.0,Card,,2025-11,11,2025,Saturday
202,2024-04-22,Shopping,1941.0,Cash,,2024-04,4,2024,Monday
203,2025-05-11,Shopping,2409.0,Cash,,2025-05,5,2025,Sunday
204,2025-03-17,Bills,1010.0,Cash,,2025-03,3,2025,Monday
205,2025-07-17,Bills,4440.0,Card,,2025-07,7,2025,Thursday
206,2024-09-24,Bills,4737.0,Cash,,2024-09,9,2024,Tuesday
207,2025-05-24,Rent,4109.0,Cash,,2025-05,5,2025,Saturday
208,2025-01-20,Shopping,2269.0,UPI,,2025-01,1,2025,Monday
209,2025-01-21,Rent,2272.0,Cash,,2025-01,1,2025,Tuesday
210,2024-04-22,Food,223.0,Cash,,2024-04,4,2024,Monday
211,2025-09-04,Bills,3258.0,Card,,2025-09,9,2025,Thursday
212,2025-09-16,Rent,885.0,Card,,2025-09,9,2025,Tuesday
213,2024-03-21,Rent,2516.0,UPI,,2024-03,3,2024,Thursday
214,2025-11-29,Food,896.0,Cash,,2025-11,11,2025,Saturday
215,2024-04-22,Travel,4272.0,UPI,,2024-04,4,2024,Monday
216,2024-01-02,Shopping,4254.0,Card,,2024-01,1,2024,Tuesday
217,2025-10-03,Travel,2036.0,UPI,,2025-10,10,2025,Friday
218,2024-08-07,Bills,2256.0,Card,,2024-08,8,2024,Wednesday
219,2025-07-19,Rent,3907.0,UPI,,2025-07,7,2025,Saturday
220,2024-08-12,Food,1401.0,UPI,,2024-08,8,2024,Monday
221,2025-01-19,Food,4263.0,Cash,,2025-01,1,2025,Sunday
222,2025-02-06,Shopping,3240.0,UPI,,2025-02,2,2025,Thursday
223,2025-09-29,Travel,3336.0,Cash,,2025-09,9,2025,Monday
224,2024-05-09,Shopping,2452.0,Cash,,2024-05,5,2024,Thursday
225,2024-02-22,Rent,2032.0,Cash,,2024-02,2,2024,Thursday
226,2025-11-14,Shopping,2821.0,Cash,,2025-11,11,2025,Friday
227,2025-12-30,Food,464.0,UPI,,2025-12,12,2025,Tuesday
228,2025-11-02,Food,2490.0,Card,,2025-11,11,2025,Sunday
229,2025-12-10,Bills,1046.0,Card,,2025-12,12,2025,Wednesday
230,2025-02-19,Bills,1477.0,Card,,2025-02,2,2025,Wednesday
231,2024-09-03,Rent,1539.0,UPI,,2024-09,9,2024,Tuesday
232,2025-03-14,Travel,3280.0,Cash,,2025-03,3,2025,Friday
233,2024-07-21,Shopping,4957.0,Card,,2024-07,7,2024,Sunday
234,2024-07-02,Rent,440.0,UPI,,2024-07,7,2024,Tuesday
235,2024-05-02,Bills,3089.0,Cash,,2024-05,5,2024,Thursday
236,2025-02-04,Shopping,482.0,Card,,2025-02,2,2025,Tuesday
237,2024-10-20,Bills,1656.0,Cash,,2024-10,10,2024,Sunday
238,2024-10-06,Shopping,399.0,Card,,2024-10,10,2024,Sunday
239,2025-09-01,Travel,238.0,Card,,2025-09,9,2025,Monday
240,2024-07-16,Rent,458.0,Card,,2024-07,7,2024,Tuesday
241,2025-05-25,Shopping,1622.0,Cash,,2025-05,5,2025,Sunday
242,2024-05-23,Food,3556.0,UPI,,2024-05,5,2024,Thursday
243,2025-08-31,Food,1727.0,Cash,,2025-08,8,2025,Sunday
244,2024-07-19,Shopping,1403.0,Card,,2024-07,7,2024,Friday
245,2024-05-03,Shopping,1234.0,Cash,,2024-05,5,2024,Friday
246,2024-07-05,Shopping,2286.0,UPI,,2024-07,7,2024,Friday
247,2024-11-21,Food,3270.0,Cash,,2024-11,11,2024,Thursday
248,2025-04-08,Food,3935.0,UPI,,2025-04,4,2025,Tuesday
249,2024-12-14,Shopping,2251.0,UPI,,2024-12,12,2024,Saturday
250,2025-10-21,Bills,1337.0,Cash,,2025-10,10,2025,Tuesday
251,2025-02-06,Bills,3835.0,Card,,2025-02,2,2025,Thursday
252,2024-12-11,Travel,2934.0,UPI,,2024-12,12,2024,Wednesday
253,2025-05-25,Rent,4360.0,Cash,,2025-05,5,2025,Sunday
254,2024-05-26,Bills,1098.0,UPI,,2024-05,5,2024,Sunday
255,2024-05-27,Food,2667.0,Card,,2024-05,5,2024,Monday
256,2025-12-11,Bills,1407.0,Cash,,2025-12,12,2025,Thursday
257,2025-05-03,Travel,756.0,Cash,,2025-05,5,2025,Saturday
258,2025-10-01,Travel,2760.0,Cash,,2025-10,10,2025,Wednesday
259,2025-07-04,Rent,2311.0,Card,,2025-07,7,2025,Friday
260,2024-12-03,Bills,2009.0,UPI,,2024-12,12,2024,Tuesday
261,2025-10-02,Food,3830.0,Cash,,2025-10,10,2025,Thursday
262,2025-04-17,Food,2146.0,UPI,,2025-04,4,2025,Thursday
263,2024-05-30,Shopping,3262.0,UPI,,2024-05,5,2024,Thursday
264,2025-02-18,Food,1240.0,Card,,2025-02,2,2025,Tuesday
265,2024-10-24,Rent,366.0,Cash,,2024-10,10,2024,Thursday
266,2025-09-02,Rent,1945.0,UPI,,2025-09,9,2025,Tuesday
267,2024-09-19,Food,1808.0,Cash,,2024-09,9,2024,Thursday
268,2024-05-23,Food,3730.0,Cash,,2024-05,5,2024,Thursday
269,2024-12-11,Shopping,3311.0,Card,,2024-12,12,2024,Wednesday
270,2025-09-15,Food,2393.0,Cash,,2025-09,9,2025,Monday
271,2025-07-25,Shopping,3832.0,Cash,,2025-07,7,2025,Friday
272,2024-01-02,Shopping,3929.0,UPI,,2024-01,1,2024,Tuesday
273,2024-10-30,Food,1610.0,Card,,2024-10,10,2024,Wednesday
274,2024-09-10,Travel,575.0,Cash,,2024-09,9,2024,Tuesday
275,2025-10-13,Travel,1076.0,UPI,,2025-10,10,2025,Monday
276,2025-03-28,Shopping,1307.0,Card,,2025-03,3,2025,Friday
277,2024-02-06,Food,2060.0,Card,,2024-02,2,2024,Tuesday
278,2024-06-08,Travel,657.0,UPI,,2024-06,6,2024,Saturday
279,2024-01-09,Food,982.0,UPI,,2024-01,1,2024,Tuesday
280,2024-08-20,Food,2294.0,UPI,,2024-08,8,2024,Tuesday
281,2024-04-08,Food,4861.0,UPI,,2024-04,4,2024,Monday
282,2025-10-20,Bills,2767.0,UPI,,2025-10,10,2025,Monday
283,2024-07-26,Food,4777.0,Cash,,2024-07,7,2024,Friday
284,2024-05-10,Bills,4890.0,Cash,,2024-05,5,2024,Friday
285,2025-02-07,Shopping,1710.0,Card,,2025-02,2,2025,Friday
286,2024-05-31,Travel,3588.0,Cash,,2024-05,5,2024,Friday
287,2024-02-23,Travel,2554.0,Cash,,2024-02,2,2024,Friday
288,2024-04-29,Travel,4594.0,Cash,,2024-04,4,2024,Monday
289,2025-11-03,Travel,2046.0,UPI,,2025-11,11,2025,Monday
290,2025-09-19,Travel,4910.0,Card,,2025-09,9,2025,Friday
291,2025-08-09,Travel,4899.0,Card,,2025-08,8,2025,Saturday
292,2025-09-16,Travel,2908.0,Card,,2025-09,9,2025,Tuesday
293,2025-02-23,Shopping,3925.0,Card,,2025-02,2,2025,Sunday
294,2025-02-25,Food,3636.0,Cash,,2025-02,2,2025,Tuesday
295,2024-04-13,Rent,3902.0,Cash,,2024-04,4,2024,Saturday
296,2024-09-10,Bills,4277.0,UPI,,2024-09,9,2024,Tuesday
297,2024-08-14,Rent,4799.0,Card,,2024-08,8,2024,Wednesday
298,2024-04-21,Rent,2070.0,Cash,,2024-04,4,2024,Sunday
299,2025-05-24,Food,3922.0,Cash,,2025-05,5,2025,Saturday
300,2025-04-17,Food,2919.0,UPI,,2025-04,4,2025,Thursday
301,2024-04-08,Food,1002.0,UPI,,2024-04,4,2024,Monday
302,2024-06-01,Travel,464.0,UPI,,2024-06,6,2024,Saturday
303,2024-12-03,Shopping,4358.0,Cash,,2024-12,12,2024,Tuesday
304,2025-12-06,Travel,3219.0,Cash,,2025-12,12,2025,Saturday
305,2024-06-11,Shopping,2658.0,UPI,,2024-06,6,2024,Tuesday
306,2025-12-20,Shopping,1963.0,Card,,2025-12,12,2025,Saturday
307,2025-11-11,Rent,215.0,UPI,,2025-11,11,2025,Tuesday
308,2024-06-09,Rent,2484.0,UPI,,2024-06,6,2024,Sunday
309,2025-08-02,Shopping,4035.0,UPI,,2025-08,8,2025,Saturday
310,2025-02-01,Shopping,2590.0,UPI,,2025-02,2,2025,Saturday
311,2024-10-03,Travel,1042.0,Cash,,2024-10,10,2024,Thursday
312,2025-05-18,Travel,1824.0,Card,,2025-05,5,2025,Sunday
313,2025-01-26,Rent,2434.0,UPI,,2025-01,1,2025,Sunday
314,2024-05-14,Food,2867.0,Card,,2024-05,5,2024,Tuesday
315,2024-07-13,Shopping,1237.0,Card,,2024-07,7,2024,Saturday
316,2025-02-04,Travel,2627.0,Card,,2025-02,2,2025,Tuesday
317,2025-10-01,Rent,4217.0,UPI,,2025-10,10,2025,Wednesday
318,2024-02-02,Travel,3520.0,Cash,,2024-02,2,2024,Friday
319,2025-11-18,Shopping,4878.0,UPI,,2025-11,11,2025,Tuesday
320,2025-04-04,Shopping,4006.0,Card,,2025-04,4,2025,Friday
321,2025-04-14,Bills,3737.0,Card,,2025-04,4,2025,Monday
322,2025-01-09,Food,3053.0,Cash,,2025-01,1,2025,Thursday
323,2024-01-22,Bills,2467.0,UPI,,2024-01,1,2024,Monday
324,2025-10-31,Rent,4321.0,Card,,2025-10,10,2025,Friday
325,2024-02-07,Travel,376.0,Cash,,2024-02,2,2024,Wednesday
326,2024-08-17,Rent,2099.0,Card,,2024-08,8,2024,Saturday
327,2024-12-30,Shopping,1327.0,Cash,,2024-12,12,2024,Monday
328,2025-07-16,Bills,3852.0,Cash,,2025-07,7,2025,Wednesday
329,2025-03-13,Bills,3835.0,UPI,,2025-03,3,2025,Thursday
330,2024-10-09,Bills,795.0,Card,,2024-10,10,2024,Wednesday
331,2024-01-27,Rent,1409.0,UPI,,2024-01,1,2024,Saturday
332,2024-08-13,Shopping,4252.0,Card,,2024-08,8,2024,Tuesday
333,2024-10-03,Travel,3334.0,UPI,,2024-10,10,2024,Thursday
334,2025-08-31,Travel,4214.0,Card,,2025-08,8,2025,Sunday
335,2024-10-10,Rent,2411.0,UPI,,2024-10,10,2024,Thursday
336,2025-04-25,Bills,2941.0,Cash,,2025-04,4,2025,Friday
337,2025-03-28,Food,4308.0,Card,,2025-03,3,2025,Friday
338,2025-10-20,Rent,3659.0,Card,,2025-10,10,2025,Monday
339,2025-05-30,Rent,3498.0,Cash,,2025-05,5,2025,Friday
340,2025-06-30,Shopping,641.0,UPI,,2025-06,6,2025,Monday
341,2024-07-10,Travel,2794.0,Card,,2024-07,7,2024,Wednesday
342,2024-02-18,Rent,4774.0,Card,,2024-02,2,2024,Sunday
343,2025-05-26,Rent,1188.0,UPI,,2025-05,5,2025,Monday
344,2024-01-17,Bills,3463.0,Cash,,2024-01,1,2024,Wednesday
345,2024-06-20,Bills,124.0,UPI,,2024-06,6,2024,Thursday
346,2024-08-07,Food,1672.0,UPI,,2024-08,8,2024,Wednesday
347,2024-06-06,Shopping,3058.0,UPI,,2024-06,6,2024,Thursday
348,2025-04-21,Food,4336.0,Card,,2025-04,4,2025,Monday
349,2024-02-15,Bills,1867.0,Cash,,2024-02,2,2024,Thursday
350,2025-01-07,Travel,4843.0,Cash,,2025-01,1,2025,Tuesday
351,2025-06-01,Bills,2335.0,UPI,,2025-06,6,2025,Sunday
352,2024-04-08,Shopping,300.0,Card,,2024-04,4,2024,Monday
353,2024-02-06,Bills,3298.0,UPI,,2024-02,2,2024,Tuesday
354,2024-10-06,Shopping,356.0,Card,,2024-10,10,2024,Sunday
355,2024-12-14,Shopping,3847.0,Card,,2024-12,12,2024,Saturday
356,2025-05-11,Shopping,4742.0,Card,,2025-05,5,2025,Sunday
357,2024-10-28,Shopping,2341.0,Card,,2024-10,10,2024,Monday
358,2024-06-29,Shopping,3275.0,Cash,,2024-06,6,2024,Saturday
359,2025-08-29,Travel,3706.0,Card,,2025-08,8,2025,Friday
360,2024-04-08,Food,3436.0,Card,,2024-04,4,2024,Monday
361,2025-11-30,Rent,4997.0,UPI,,2025-11,11,2025,Sunday
362,2024-04-25,Food,513.0,UPI,,2024-04,4,2024,Thursday
363,2024-07-09,Shopping,2114.0,Cash,,2024-07,7,2024,Tuesday
364,2024-09-09,Travel,1481.0,UPI,,2024-09,9,2024,Monday
365,2024-06-09,Bills,1198.0,Card,,2024-06,6,2024,Sunday
366,2024-09-12,Travel,3526.0,UPI,,2024-09,9,2024,Thursday
367,2024-11-18,Shopping,3755.0,Cash,,2024-11,11,2024,Monday
368,2024-05-07,Travel,1009.0,UPI,,2024-05,5,2024,Tuesday
369,2024-01-18,Travel,287.0,UPI,,2024-01,1,2024,Thursday
370,2025-07-19,Shopping,4144.0,Cash,,2025-07,7,2025,Saturday
